player_id,name,position,team_name,current_price,expected_points_ensemble,points_per_million
373,Virgil van Dijk,DEF,Liverpool,6.0,3.1610625659810307,0.5268437609968385
346,Sam Byram,DEF,Leeds,4.0,3.074350919367053,0.7685877298417634
349,Isaac Schmidt,DEF,Leeds,4.0,3.074350919367053,0.7685877298417634
348,Joe Rodon,DEF,Leeds,4.0,3.074350919367053,0.7685877298417634
347,Gabriel Gudmundsson,DEF,Leeds,4.0,3.0742201064140744,0.7685550266035186
343,Pascal Struijk,DEF,Leeds,4.5,3.050004702902334,0.6777788228671854
541,Reinildo Mandava,DEF,Sunderland,4.0,3.0474785509553985,0.7618696377388496
542,Jenson Seelt,DEF,Sunderland,4.0,3.047440089373977,0.7618600223434943
73,Adam Smith,DEF,Bournemouth,4.5,3.045743103253598,0.6768318007230217
476,Dan Burn,DEF,Newcastle,5.0,3.035839219228049,0.6071678438456098
478,Kieran Trippier,DEF,Newcastle,5.0,3.029309250394292,0.6058618500788583
477,Tino Livramento,DEF,Newcastle,5.0,3.029273069117997,0.6058546138235995
531,Daniel Ballard,DEF,Sunderland,4.5,3.0188423504231223,0.6708538556495828
532,Trai Hume,DEF,Sunderland,4.5,3.0188423504231223,0.6708538556495828
191,Maxime Estève,DEF,Burnley,4.0,3.001555758292679,0.7503889395731698
197,Oliver Sonne,DEF,Burnley,4.0,2.9916863687806377,0.7479215921951594
190,Hjalmar Ekdal,DEF,Burnley,4.0,2.985389382097975,0.7463473455244938
192,Quilindschy Hartman,DEF,Burnley,4.0,2.9757637663363203,0.7439409415840801
474,Fabian Schär,DEF,Newcastle,5.5,2.972410698492008,0.5404383088167287
298,Reece Welch,DEF,Everton,4.0,2.9571967936070944,0.7392991984017736
297,Roman Dixon,DEF,Everton,4.0,2.9571967936070944,0.7392991984017736
187,Kyle Walker,DEF,Burnley,4.5,2.946489161066655,0.6547753691259233
118,Jayden Meghoma,DEF,Brentford,4.0,2.944038409198904,0.736009602299726
114,Benjamin Arthur,DEF,Brentford,4.0,2.944038409198904,0.736009602299726
117,Kim Ji-soo,DEF,Brentford,4.0,2.944038409198904,0.736009602299726
115,Benjamin Fredrick,DEF,Brentford,4.0,2.944038409198904,0.736009602299726
116,Aaron Hickey,DEF,Brentford,4.0,2.944038409198904,0.736009602299726
40,Tyrone Mings,DEF,Aston Villa,4.5,2.9331935595193777,0.6518207910043061
37,Lucas Digne,DEF,Aston Villa,4.5,2.933147258222641,0.6518105018272536
667,Adam Aznou,DEF,Everton,4.5,2.932850577142375,0.6517445726983055
294,Séamus Coleman,DEF,Everton,4.5,2.932850577142375,0.6517445726983055
295,Michael Keane,DEF,Everton,4.5,2.932850577142375,0.6517445726983055
110,Michael Kayode,DEF,Brentford,4.5,2.919692192734185,0.6488204872742632
111,Ethan Pinnock,DEF,Brentford,4.5,2.919692192734185,0.6488204872742632
108,Kristoffer Ajer,DEF,Brentford,4.5,2.919692192734185,0.6488204872742632
113,Sepp van den Berg,DEF,Brentford,4.5,2.919692192734185,0.6488204872742632
112,Mads Roerslev Rasmussen,DEF,Brentford,4.5,2.919692192734185,0.6488204872742632
109,Rico Henry,DEF,Brentford,4.5,2.919692192734185,0.6488204872742632
293,Jake O'Brien,DEF,Everton,5.0,2.908504251994665,0.5817008503989329
194,Jordan Beyer,DEF,Burnley,4.0,2.901933292614124,0.7254833231535309
678,Arthur Masuaku,DEF,Sunderland,4.0,2.901933292614124,0.7254833231535309
195,Lucas Pires Silva,DEF,Burnley,4.0,2.901933292614124,0.7254833231535309
540,Timothée Pembélé,DEF,Sunderland,4.0,2.901933292614124,0.7254833231535309
537,Niall Huggins,DEF,Sunderland,4.0,2.901933292614124,0.7254833231535309
538,Zak Johnson,DEF,Sunderland,4.0,2.901933292614124,0.7254833231535309
196,Shurandy Sambo,DEF,Burnley,4.0,2.901933292614124,0.7254833231535309
188,Hannes Delcroix,DEF,Burnley,4.0,2.901933292614124,0.7254833231535309
534,Joe Anderson,DEF,Sunderland,4.0,2.901933292614124,0.7254833231535309
199,Joe Worrall,DEF,Burnley,4.0,2.901933292614124,0.7254833231535309
683,Omar Alderete,DEF,Sunderland,4.0,2.901933292614124,0.7254833231535309
198,Axel Tuanzebe,DEF,Burnley,4.0,2.901918238740083,0.7254795596850208
107,Keane Lewis-Potter,DEF,Brentford,5.0,2.8953458675864745,0.5790691735172949
106,Nathan Collins,DEF,Brentford,5.0,2.8953458675864745,0.5790691735172949
374,Ibrahima Konaté,DEF,Liverpool,5.5,2.892935891300171,0.5259883438727584
638,Ki-Jana Hoever,DEF,Wolves,4.0,2.8892834335171167,0.7223208583792792
641,Alfie Pond,DEF,Wolves,4.0,2.8892834335171167,0.7223208583792792
640,Pedro Cardoso de Lima,DEF,Wolves,4.0,2.8892834335171167,0.7223208583792792
370,Jeremie Frimpong,DEF,Liverpool,6.0,2.8843405286662662,0.4807234214443777
291,James Tarkowski,DEF,Everton,5.5,2.884158035529945,0.5243923700963538
36,Matty Cash,DEF,Aston Villa,4.5,2.882659966440672,0.6405911036534827
72,Marcos Senesi Barón,DEF,Bournemouth,4.5,2.8817141768144063,0.6403809281809791
186,Connor Roberts,DEF,Burnley,4.5,2.877587076149404,0.6394637946998676
379,Rhys Williams,DEF,Liverpool,4.0,2.871130227590172,0.717782556897543
378,Amara Nallo,DEF,Liverpool,4.0,2.871130227590172,0.717782556897543
380,Calvin Ramsay,DEF,Liverpool,4.0,2.871130227590172,0.717782556897543
682,David Møller Wolfe,DEF,Wolves,4.5,2.864937217052397,0.6366527149005328
