player_id,name,first_name,second_name,web_name,position,team_id,team_name,team_short,current_price,price_change,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,form,transfers_in,transfers_out,transfers_in_event,transfers_out_event,photo_url,photo_code,penalties_taker,corners_taker,freekicks_taker,team_attack_strength,team_defence_strength,team_overall_strength,next_1_gw,next_1_opponent,next_1_difficulty,next_1_venue,next_2_gw,next_2_opponent,next_2_difficulty,next_2_venue,next_3_gw,next_3_opponent,next_3_difficulty,next_3_venue,next_4_gw,next_4_opponent,next_4_difficulty,next_4_venue,next_5_gw,next_5_opponent,next_5_difficulty,next_5_venue,next_6_gw,next_6_opponent,next_6_difficulty,next_6_venue,avg_fixture_difficulty_6gw,total_points_season_1_ago,minutes_season_1_ago,goals_scored_season_1_ago,assists_season_1_ago,clean_sheets_season_1_ago,start_cost_season_1_ago,end_cost_season_1_ago,total_points_season_2_ago,minutes_season_2_ago,goals_scored_season_2_ago,assists_season_2_ago,clean_sheets_season_2_ago,start_cost_season_2_ago,end_cost_season_2_ago,total_points_season_3_ago,minutes_season_3_ago,goals_scored_season_3_ago,assists_season_3_ago,clean_sheets_season_3_ago,start_cost_season_3_ago,end_cost_season_3_ago,goals_scored_per_90,assists_per_90,clean_sheets_per_90,goals_conceded_per_90,own_goals_per_90,penalties_saved_per_90,penalties_missed_per_90,yellow_cards_per_90,red_cards_per_90,saves_per_90,bonus_per_90,minutes_per_game,games_played,total_points_per_90
391,Ben Doak,Ben,Doak,Doak,MID,12,Liverpool,LIV,5.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,50,125,50,125,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,496208.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Endo Wataru,Endo,Wataru,Endo,MID,12,Liverpool,LIV,5.0,0.0,0.1,4,4.0,30,0,1,0,2,0,0,0,0,0,0,0,15,24.6,10.6,0.0,3.5,a,,,,,4.0,156,275,156,275,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,158983.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Stefan Bajčetić Maquieira,Stefan,Bajčetić Maquieira,Bajcetic,MID,12,Liverpool,LIV,4.5,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,34,124,34,124,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,535928.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,James McConnell,James,McConnell,McConnell,MID,12,Liverpool,LIV,4.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,22,90,22,90,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,491501.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Tyler Morton,Tyler,Morton,Morton,MID,12,Liverpool,LIV,4.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,0.0,0.0,Has joined Lyon permanently.,2025-08-11T01:13:11.403187Z,0.0,0,47,0,47,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,440148.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Trey Nyoni,Trey,Nyoni,Nyoni,MID,12,Liverpool,LIV,4.5,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,56,279,56,279,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,591386.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Darwin Núñez Ribeiro,Darwin,Núñez Ribeiro,Darwin,FWD,12,Liverpool,LIV,6.5,0.0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,0.0,0.0,Has joined Al-Hilal permanently.,2025-08-11T11:06:59.061616Z,0.0,0,3653,0,3653,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,447203.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Jayden Danns,Jayden,Danns,Danns,FWD,12,Liverpool,LIV,4.5,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,132,444,132,444,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,500058.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Hugo Ekitiké,Hugo,Ekitiké,Ekitiké,FWD,12,Liverpool,LIV,8.5,0.0,16.2,11,11.0,71,1,1,0,1,0,0,0,0,0,0,2,36,53.0,24.4,37.0,11.4,a,,,,,11.0,99261,4995,99261,4995,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,510663.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Rio Ngumoha,Rio,Ngumoha,Ngumoha,MID,12,Liverpool,LIV,4.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,514,69,514,69,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,611922.jpg,False,False,False,2620,2760,2690,2,15,4,A,3,1,4,H,4,3,2,A,5,9,2,H,6,8,3,A,7,7,4,A,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
