team_id,gameweek,fixture_date,fixtures_in_window,congestion_index,days_since_last,days_to_next,is_home,opponent,base_rotation_risk,turnaround_risk,dgw_risk,total_rotation_risk
6,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,11,0.05,0.0,0.0,0.05
7,1,2025-08-17 13:00:00+00:00,2,1.0,,5,True,8,0.05,0.0,0.0,0.05
7,2,2025-08-22 19:00:00+00:00,2,1.0,5.0,7,False,19,0.05,0.1,0.0,0.15000000000000002
7,3,2025-08-30 11:30:00+00:00,1,0.5,7.0,14,True,10,0.05,0.0,0.0,0.05
7,4,2025-09-13 19:00:00+00:00,2,1.0,14.0,6,False,5,0.05,0.0,0.0,0.05
7,5,2025-09-20 16:30:00+00:00,3,1.5,6.0,6,False,14,0.15,0.0,0.0,0.15
7,6,2025-09-27 14:00:00+00:00,3,1.5,6.0,7,True,6,0.15,0.0,0.0,0.15
7,7,2025-10-04 14:00:00+00:00,2,1.0,7.0,14,True,12,0.05,0.0,0.0,0.05
7,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,16,0.05,0.0,0.0,0.05
7,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,17,0.05,0.0,0.0,0.05
7,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,18,0.05,0.0,0.0,0.05
8,1,2025-08-17 13:00:00+00:00,2,1.0,,7,False,7,0.05,0.0,0.0,0.05
8,2,2025-08-24 13:00:00+00:00,2,1.0,7.0,7,True,16,0.05,0.0,0.0,0.05
8,3,2025-08-31 18:00:00+00:00,1,0.5,7.0,12,False,2,0.05,0.0,0.0,0.05
8,4,2025-09-13 14:00:00+00:00,2,1.0,12.0,7,True,17,0.05,0.0,0.0,0.05
8,5,2025-09-20 14:00:00+00:00,3,1.5,7.0,7,False,19,0.15,0.0,0.0,0.15
8,6,2025-09-27 14:00:00+00:00,3,1.5,7.0,7,True,12,0.15,0.0,0.0,0.15
8,7,2025-10-04 14:00:00+00:00,2,1.0,7.0,14,False,9,0.05,0.0,0.0,0.05
8,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,4,0.05,0.0,0.0,0.05
8,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,1,0.05,0.0,0.0,0.05
8,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,5,0.05,0.0,0.0,0.05
